Sample ID,Composition (at. %),"γ’-solvus temperatures
(℃)",δMV,ΔHm,δDC,δCS
1,Co-20Ni-10Al-10W-2Ta,1150,0.181524898,-9.1856,0.326801118,0.621775281
2,Co-10Al-5Cr-2Ta,870,0.158794043,-8.9456,0.279314075,0.411228699
3,Co-10Ni-10Al-5Cr-2Ta,905,0.159450961,-9.1656,0.27825809,0.533449348
4,Co-20Ni-10Al-5Cr-2Ta ,948,0.160099996,-9.3856,0.277176717,0.651416154
5,Co-30Ni-10Al-5Cr-2Ta ,975,0.160741202,-9.6056,0.276070093,0.772223122
6,Co-30Ni-10Al-5Cr-2Ta-2Ti ,1060,0.173142684,-11.648,0.282600324,0.794533158
7,Co-30Ni-10Al-5Cr-2Ta-4Ti  ,1128,0.183555206,-13.6008,0.288988944,0.817066395
8,71Co-10Ni-7Al-4Ti-7W-1Ta,1134,0.181127047,-10.0612,0.28387868,0.488510541
9,51Co-30Ni-7Al-4Ti-7W-1Ta,1167,0.182610577,-10.6052,0.282551794,0.722376061
10,72Co-10Ni-7Al-4Ti-5Mo-2Nb,1021,0.173606005,-10.9324,0.215014466,0.488762378
11,52Co-30Ni-7Al-4Ti-5Mo-2Nb,1082,0.174898782,-11.4044,0.213136318,0.726207616
12,72Co-10Ni-7Al-4Ti-5Mo-1Nb-1Ta,1033,0.166798911,-10.0724,0.211093836,0.462086978
13,52Co-30Ni-7Al-4Ti-5Mo-1Nb-1Ta,1105,0.168047573,-10.5044,0.209138743,0.699111204
14,72Co-10Ni-7Al-4Ti-2W-3Mo-1Nb-1Ta,1076,0.177923602,-10.8884,0.239046918,0.484622634
15,52Co-30Ni-7Al-4Ti-2W-3Mo-1Nb-1Ta,1126,0.179284848,-11.3924,0.237394282,0.720818724
16,61.5Co-20Ni-8Al-6.5W-2Ti-2Ta,1150,0.17988889,-9.8203,0.28696631,0.600659401
17,60.5Co-20Ni-8Al-6.5W-2Ti-2Ta-1Re,1150,0.180468385,-9.7293,0.293242174,0.636168208
18,Co-10Ni-9Al-9W,985,0.164528293,-6.6996,0.300210271,0.481022526
19,Co-10Ni-8Al-8W-2Ti,1030,0.170174902,-8.0176,0.289487947,0.483402125
20,Co-10Ni-7Al-7W-4Ti,1056,0.175549942,-9.2932,0.277735059,0.485778596
21,Co-10Ni-6Al-6W-6Ti,1106,0.180678764,-10.5264,0.264787527,0.488152028
22,Co-10Ni-5Al-5W-8Ti,1130,0.18558285,-11.7172,0.250430394,0.490522508
23,Co-9Al-8W,960,0.161571813,-6.49,0.291869935,0.349824577
24,Co-9Al-9W,985,0.163796575,-6.5196,0.301096194,0.354215653
25,Co-9Al-11W,1036,0.167787454,-6.5764,0.318989167,0.362816188
26,Co-10Al-5Mo-2Nb,866,0.170597519,-9.066,0.277215606,0.437685466
27,Co-9Al-9W-2Ta-0.02B,1091,0.175874264,-8.117256,0.31305313,0.484221269
28,Co-9Al-7W-2Ta-0.02B-2Mo,1065,0.175510338,-8.269304,0.31196119,0.50251375
29,Co-9Al-5W-2Ta-0.02B-4Mo,1043,0.175144939,-8.421352,0.310866687,0.520623578
30,Co-9.5Al-5W-16Ni-6Cr,930,0.155653754,-7.6007,0.31677196,0.622065684
31,Co-9.5Al-5W-16Ni-6Cr-1.8Ta,1040,0.168137323,-9.035516,0.327227442,0.626758127
32,Co-9.5Al-5W-16Ni-6Cr-2.8Ta,1100,0.174208614,-9.805756,0.33293335,0.629310374
