Sample ID,Composition (at. %),¦Ã¡¯ phase,VEC,YM,PR
1,Co-9Al-7.5W,Y,8.235,211.64,0.31135
2,Co-9.2Al-9W,Y,8.178,214.392,0.31098
3,Co-8.8Al-9.8W-2Ta,Y,8.098,216.104,0.31118
4,Co-20Ni-10Al-10W-2Ta,Y,8.22,213.04,0.3116
5,Co-10Al-5Cr-2Ta,Y,8.17,198.14,0.3096
6,Co-10Ni-10Al-5Cr-2Ta,Y,8.27,197.24,0.3096
7,Co-20Ni-10Al-5Cr-2Ta ,Y,8.37,196.34,0.3096
8,Co-30Ni-10Al-5Cr-2Ta ,Y,8.47,195.44,0.3096
9,Co-30Ni-10Al-5Cr-2Ta-2Ti ,Y,8.37,193.58,0.3098
10,Co-30Ni-10Al-5Cr-2Ta-4Ti  ,Y,8.27,191.72,0.31
11,Co-10Ni-6Al-6Ti,Y,8.44,194.18,0.313
12,Co-10Ni-6Al-2W-6Ti ,Y,8.38,198.22,0.3124
13,Co-10Ni-6Al-4W-6T,Y,8.32,202.26,0.3118
14,Co-10Ni-6Al-6W-6Ti,Y,8.26,206.3,0.3112
15,Co-6.8Al-2.8Ge-8.2W,Y,8.206,213.144,0.30886
16,Co-4.5Al-5.5Ge-7.4W,Y,8.233,211.863,0.30683
17,Co-2.3Al-8.3Ge-6.5W,Y,8.252,210.135,0.30482
18,Co-11Ge-5.7W,Y,8.279,208.854,0.30279
19,Co-11Ge-9W,Y,8.18,215.52,0.3018
20,71Co-10Ni-7Al-4Ti-7W-1Ta,Y,8.23,208.56,0.3114
21,51Co-30Ni-7Al-4Ti-7W-1Ta,Y,8.43,206.76,0.3114
22,72Co-10Ni-7Al-4Ti-5Mo-2Nb,Y,8.4,192.57,0.315
23,52Co-30Ni-7Al-4Ti-5Mo-2Nb,Y,8.6,190.77,0.315
24,72Co-10Ni-7Al-4Ti-5Mo-1Nb-1Ta,Y,8.44,194.42,0.3135
25,52Co-30Ni-7Al-4Ti-5Mo-1Nb-1Ta,Y,8.64,192.62,0.3135
26,72Co-10Ni-7Al-4Ti-2W-3Mo-1Nb-1Ta,Y,8.34,197.42,0.3138
27,52Co-30Ni-7Al-4Ti-2W-3Mo-1Nb-1Ta,Y,8.54,195.62,0.3138
28,Co-11Ti-15Cr,Y,8,209.27,0.2961
29,61.5Co-20Ni-8Al-6.5W-2Ti-2Ta,Y,8.345,206.89,0.31205
30,60.5Co-20Ni-8Al-6.5W-2Ti-2Ta-1Re,Y,8.325,209.43,0.31195
31,Co-10Ni-9Al-9W,Y,8.29,213.77,0.3109
32,Co-10Ni-8Al-8W-2Ti,Y,8.28,211.28,0.311
33,Co-10Ni-7Al-7W-4Ti,Y,8.27,208.79,0.3111
34,Co-10Ni-6Al-6W-6Ti,Y,8.26,206.3,0.3112
35,Co-10Ni-5Al-5W-8Ti,Y,8.25,203.81,0.3113
36,Co-30Ni-6Al-3W-2.5Ti-1.5Ta-12Cr-0.4Si-0.1Hf-0.01Zr-0.08B,Y,8.2738,208.7708,0.298744
37,Co-30Ni-9Al-5W-0.3Ti-0.2Ta-12Cr-0.4Si-0.1Hf-0.01Zr-0.08B,Y,8.1958,210.9858,0.298734
38,Co-9Al-11W,Y,8.13,218.71,0.3103
39,Co-10Al-5Mo-2Nb,Y,8.17,199.02,0.3158
40,Co-8.8Al-7.3W,Y,8.253,211.514,0.31133
41,Co-9.7Al-7.1W-2.1Ru,Y,8.184,214.857,0.31154
42,Co-9Al-9W-4Cr,Y,8.07,217.47,0.3069
43,Co-9Al-9W-8Cr,Y,7.95,220.27,0.3029
44,Co-9Ni-9Al-9W,Y,8.28,213.86,0.3109
45,Co-18Ni-9Al-9W,Y,8.37,213.05,0.3109
46,Co-9Ni-9Al-9W-8Cr,Y,8.04,219.46,0.3029
47,Co-18Ni-9Al-9W-8Cr,Y,8.13,218.65,0.3029
48,43.5Co-27Ni-11Al-6.2W-10Cr-2.3Ta,Y,8.032,210.275,0.30323
49,44Co-29Ni-11.8Al-5.2W-6Cr-2Mo-2Ta,Y,8.106,206.632,0.30776
50,Co-9Al-9W-2Ta-0.02B,Y,8.1106,214.21,0.3115
51,Co-9Al-7W-2Ta-0.02B-2Mo,Y,8.1106,212.57,0.3121
52,Co-9Al-5W-2Ta-0.02B-4Mo,Y,8.1106,210.93,0.3127
53,Co-9.5Al-5W-16Ni-6Cr,Y,8.26,208.655,0.3063
54,Co-9.5Al-5W-16Ni-6Cr-1.8Ta,Y,8.188,208.241,0.30684
55,Co-9.5Al-5W-16Ni-6Cr-2.8Ta,Y,8.148,208.011,0.30714
56,Co-9Al-9W-2Cr,Y,8.13,216.07,0.3089
57,Co-9Al-9W-4Cr,Y,8.07,217.47,0.3069
58,Co-9Al-9W-6Cr,Y,8.01,218.87,0.3049
59,Co-9Al-9W-8Cr,Y,7.95,220.27,0.3029
60,Co-9Al-9W-10Cr,Y,7.89,221.67,0.3009
61,Co-9.4Al-7.9W-2.2Ta,Y,8.111,211.386,0.31205
62,Co-9.5Al-8.7W-1.1Hf,Y,8.114,211.928,0.31185
63,Co-7Al-7W,Y,8.37,213.41,0.3107
